State,FIPS,Name,Area,People2010
IL,17181,Union County,413.46,17808
IL,17183,Vermilion County,898.37,81625
IL,17185,Wabash County,223.25,11947
IL,17187,Warren County,542.41,17707
IL,17189,Washington County,562.57,14716
IL,17191,Wayne County,713.81,16760
IL,17193,White County,494.77,14665
IL,17195,Whiteside County,684.25,58498
IL,17197,Will County,836.91,677560
IL,17199,Williamson County,420.15,66357
IL,17201,Winnebago County,513.36,295266
IL,17203,Woodford County,527.80,38664
IN,18001,Adams County,339.03,34387
IN,18003,Allen County,657.31,355329
IN,18005,Bartholomew County,406.91,76794
IN,18007,Benton County,406.42,8854
IN,18009,Blackford County,165.08,12766
IN,18011,Boone County,422.91,56640
IN,18013,Brown County,311.98,15242
IN,18015,Carroll County,372.22,20155
IN,18017,Cass County,412.15,38966
IN,18019,Clark County,372.86,110232
IN,18021,Clay County,357.54,26890
IN,18023,Clinton County,405.07,33224
IN,18025,Crawford County,305.64,10713
